"Carimbo de data/hora","Quais serviços você conhece? (selecione uma ou mais)","Quais serviços você ou sua família assinam? (selecione uma ou mais)","Quais serviços você mais gosta? (selecione uma ou mais)","Idade","Gênero","Ocupação","Quantas crianças (menor de 10 anos) moram com você?","Tipo de conteúdo preferido:","Durante a semana, quantas horas você assiste de streaming por dia?","De final de semana, quantas horas você assiste de streaming por dia?","Quais dispositivos você utiliza para assistir streaming? (selecione uma ou mais)","Qual preço você julga justo assinar?","Qual sua renda familiar mensal?","O que poderia melhorar nos serviços de streaming que você assina?"
"2022/05/03 10:21:32 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Prime Video;HBO Max","Disney+;Prime Video","20","Masculino","Estudando","0","Séries","1","2","Celular","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 10:27:36 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Hulu;Globoplay;Crunchyroll ","Netflix;Prime Video;Crunchyroll ","Netflix;Prime Video;HBO Max","20","Masculino","Estudando","0","Séries","0","1","Smart TV","R$15,00 - R$25,00","Mais de R$20.000,00","Maior catálogo de filmes e séries;Conexão;Interface"
"2022/05/03 10:29:52 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;NBA League Pass","Netflix;Disney+;Star+;Prime Video;HBO Max;NBA League Pass","Netflix;Disney+;Star+;HBO Max","19","Masculino","Estudando","0","Séries","1","1","Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço"
"2022/05/03 10:49:56 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;Disney+;Prime Video;HBO Max","Netflix;Disney+;HBO Max","22","Masculino","Estudando e Trabalhando","0","Séries","5","6","Notebook ou PC","R$25,00 - R$35,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 10:50:22 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;Disney+;Prime Video;HBO Max;Globoplay","20 anos","Feminino","Estudando e Trabalhando","0","Séries","4","6","Smart TV;Celular","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 10:51:41 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video","Netflix;Disney+;HBO Max;Globoplay","21","Masculino","Estudando","0","Séries","1","2","Smart TV","Mais de R$35,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries;Interface"
"2022/05/03 10:52:48 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max","Netflix;Disney+;Prime Video;HBO Max","20","Masculino","Estudando","0","Séries","3","4","Google Chromecast ou similar;Tablet ou iPad","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 10:54:24 AM GMT-3","Netflix;Disney+;HBO Max;Hulu","Netflix","Netflix","20","Masculino","Estudando","0","Séries","0","0","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 10:55:23 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;HBO Max","19","Masculino","Estudando","0","Filmes","4","4","Smart TV;Google Chromecast ou similar;Celular;Notebook ou PC","R$15,00 - R$25,00","Mais de R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 10:55:39 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video;HBO Max;Globoplay","Netflix","20","Masculino","Estudando","0","Filmes","0","1","Celular;Notebook ou PC","R$15,00 - R$25,00","Mais de R$20.000,00","Maior catálogo de filmes e séries;Mais produções nacionais"
